,regnard-arlequin-bonnes-fortunes,regnard-filles-errantes,Cost,Operation Type
454,"('#arlequin', ""Bon !  C'est une langue qui s'apprend par infusion ; et s'il vous épousait, vous sauriez le tonquinois dans deux heures. "")","('#le-choeur', ""Suivons, suivons l'amour ; laissons-nous enflammer. Ah, ah, ah ! Qu'il est doux d'aimer !"")",1.32,Substitution
455,,"('#mezzetin', ""Pour l'hymen qu'on destine,  Tous, d'un même ton,  Chantons une chanson.  Morbleu ! Vive Claudine !  Car, dans sa saison,  On verra la coquine  Donner un fils de sa façon."")",1.0,Deletion
456,"('#brocantin', ""Puisque cela est ainsi, je veux bien faire le mariage d'Isabelle ; mais dites-moi auparavant, est-il curieux ? "")","('#le-choeur', ""Suivons, suivons l'amour ; laissons-nous enflammer. Ah, ah, ah ! Qu'il est doux d'aimer !"")",1.31,Substitution
457,"('#arlequin', ""Bon !  C'est le Dautel du pays ; il troque des nippes à tous moments, et je vous réponds qu'avant qu'il soit deux jours, il aura troqué sa femme.  Je m'en vais vous faire voir toutes mes curiosités, et l'équipage de ma future.  Arlequin fait un signal ; le fond du théâtre s'ouvre, et il paraît un cabinet rempli de tableaux de Téniers, figurés par des personnages naturels. "")","('#mezzetin', ""Une fille a beau feindre,  L'hymen est charmant ;  Elle a beau se contraindre,  Il lui faut un amant ;  Et rien n'est tant à craindre  Que l'âge de quinze ans."")",0.95,Substitution
458,"('#brocantin', 'Voilà qui est très beau.  Ces tableaux-là sont tous originaux. ')",,1.0,Insertion
459,"('#arlequin', ""Vous l'avez dit.  Et ce gros singe-là, comment le trouvez-vous ?  Il lui fait remarquer un singe qui est dans un des tableaux. "")",,1.0,Insertion
460,"('#brocantin', ""Joli, ma foi !  On dirait qu'il me regarde. "")",,1.0,Insertion
461,"('#arlequin', ""Cela pourrait être ; car il vous ressemble comme deux gouttes d'eau, et vous savez que la ressemblance engendre l'amitié.  Mais il faut vous détromper.  Vous avez cru que c'étaient là des tableaux véritables ? "")","('#le-choeur', ""Suivons, suivons l'amour ; laissons-nous enflammer. Ah, ah, ah ! Qu'il est doux d'aimer !"")",1.03,Substitution
462,"('#brocantin', 'Assurément, et je le crois encore. ')",,1.0,Insertion
463,"('#arlequin', ""Et c'est ce qui vous trompe.  Tout cela ne tient que par le moyen d'un ressort que je vais toucher, et vous verrez que toutes ces figures prendront mouvement.  Voyez-vous bien ce singe ?  Il accompagne de la guitare on ne peut pas mieux.  Je m'en vais vous le faire voir.  Quiribirichibi ? Arlequin s'approche de l'un des côtés du cabinet, et frappant sur une table, toutes les figures qui sont représentées dans les tableaux en sortent en chantant, dansant et jouant de divers instruments. Pasquariel, en singe, fait plusieurs sauts périlleux ; Brocantin le regarde avec admiration et Arlequin lui dit :  Au singe.  Le singe répond en faisant une grimace, et en même temps se jette sur une guitare qu'un homme de la suite d'Arlequin a entre les mains."")",,1.0,Insertion
464,"('#arlequin', ""Avez-vous entendu ce qu'il a dit ? "")",,1.0,Insertion
465,"('#brocantin', ""Non. Est-ce que j'entends le langage des singes, moi ? "")",,1.0,Insertion
466,"('#arlequin', ""Vous avez pourtant la physionomie d'une guenon. Il dit qu'il va prendre sa guitare. La voilà ; écoutez. "")",,1.0,Insertion
467,"('#mezzetin', ""Pata, pata, pata, pon,  Amis, je m'en vais à la guerre ;  J'ai pour épée un flacon,  Et pour mousquet un grand verre.  La santé du roi,  Porte-la-moi :  Dépêche-toi ;  Car je suis mort, si je ne bois.  Au son de cet instrument,  Je sens que mon coeur se réveille ;  Il faut, pour être content,  Toujours la pipe et la bouteille.  La santé du roi,  Porte-la-moi :  Dépêche-toi ;  Car je suis mort, si je ne bois. "")","('#arlequin #mezzetin #pasquariel', ""Un amant aux abois,  Las d'un choix,  Veut quitter prise ;  Mais l'on n'est pas de bois,  Et l'on fait quelquefois  Une sottise."")",1.09,Substitution
468,,"('#le-choeur', ""Suivons, suivons l'amour ; laissons-nous enflammer. Ah, ah, ah ! Qu'il est doux d'aimer !"")",1.0,Deletion
