,la-fontaine-climene,cahusac-l-algerien,Cost,Operation Type
509,,"('#hassan', ""Vous auriez dû plutôt la voir. Pardonnez ma franchise et faites en usage. L'Amour n'est pas fait pour notre âge En vous voyant je viens d'apercevoir Que je jouais, sans le savoir, Un ridicule et fort sot personnage, Vous m'avez servi de miroir."")",1.0,Deletion
510,,"('#dorise', ""Il extravague, et c'est un vrai délire."")",1.0,Deletion
511,,"('#d-oberval', ""Un rayon d'espoir vient me luire."")",1.0,Deletion
512,,"('#clarice', 'Je tremble encore.')",1.0,Deletion
513,,"('#hassan', 'Daignez me parler sans détour. Fatime votre coeur est—il libre ?')",1.0,Deletion
514,,"('#isabelle', ""Oui l'Amour N'a point encor troublé le repos de ma vie."")",1.0,Deletion
515,,"('#clarice', ""Elle vous parle avec candeur, Je réponds d'elle."")",1.0,Deletion
516,,"('#hassan', ""Et malgré mon erreur, Ou plutôt malgré ma folie, M'estimez-vous assez pour accepter ma main ?"")",1.0,Deletion
517,,"('#clarice', ""Oh ! Rien n'égale son estime. Elle me le disait encore ce matin."")",1.0,Deletion
518,,"('#isabelle', ""Il est vrai. Je l'ai dit."")",1.0,Deletion
519,"('#polymnie', ""Que vous autres mortels êtes fous dans vos flammes ! Les dieux obtiennent bien d'autres dons de leurs dames, Sans triompher ainsi."")","('#dorise', 'Quel est donc son dessein !... Voulez-vous épouser de ma nièce et Fatime ? À Hassan.')",0.7,Substitution
520,,"('#hassan', ""Je veux les rendre heureuses toutes deux. Fatmé vous m'entendez. Un peu plus de franchise Vous aurait épargné bien des instants fâcheux, Et m'aurait empêché de faire une sottise."")",1.0,Deletion
521,,"('#clarice', 'Soyez sûr désormais de ma tendre amitié...')",1.0,Deletion
522,,"('#hassan', ""Aimez-moi l'un de l'autre de tout est oublié. N'attendons que le vent pour voguer vers la France, J'assure mon bonheur en vous rendant heureux.v"")",1.0,Deletion
523,,"('#dorise', ""D'Oberval garde le silence, Clarice détourne les yeux... De mon amour trop occupée Tous les deux m'auraient-ils dupée ?"")",1.0,Deletion
524,,"('#clarice', ""Vous avez pris pour vous ce qu'il pensait pour moi ?"")",1.0,Deletion
525,,"('#d-oberval', ""J'en agissais de bonne foi Vous vous êtes seule trompée[.]"")",1.0,Deletion
526,"('#acanthe', 'Polymnie, ils sont dieux.')","('#hassan', 'De ma raison je vous dois le retour, Et je voudrais fort à mon tour...')",1.23,Substitution
527,"('#apollon', ""Je l'étais, et Daphné ne m'en traita pas mieux ; Perdons ce souvenir. Vous triomphez, Acanthe : Nous vous laissons, adieu ; notre troupe est contente."")","('#dorise', ""Je vous entends. J'étais de nous cinq la plus folle, J'en conviens ; mais enfin vous vous mariez tous : Moi je demeure veuve de ce qui me console : Je suis dès ce moment bien plus sage que vous."")",0.61,Substitution
528,,"('#la-satire', 'Me voilà, grâce au Ciel, à la fin de mon rôle.')",1.0,Deletion
529,,"('#apollon', 'Êtes-vous contente de nous ?')",1.0,Deletion
530,,"('#thalie', ""Oui, de tous vos efforts Thalie est satisfaite ; Le zèle vous a faits des acteurs assez bons. Mais ma pièce... Ce point franchement m'inquiète."")",1.0,Deletion
531,,"('#apollon', ""Rassurez-vous. Le motif qui l'a faite En couvre les défauts..."")",1.0,Deletion
532,,"('#la-satire', ""Sans rajeunir le fonds Qui, pour vous parler vrai, m'a paru misérable."")",1.0,Deletion
533,,"('#apollon', 'Le style en est assez passable, Et vos bonnes intentions...')",1.0,Deletion
534,,"('#la-satire', ""N'empêchent pas qu'on ne s'ennuie."")",1.0,Deletion
535,,"('#apollon', 'Vous aviez peu de temps...')",1.0,Deletion
536,,"('#la-satire', 'Oh ! Les belles raisons ! Pour nous faire bailler....')",1.0,Deletion
537,,"('#thalie', ""Je n'ai point la folie D'espérer de vous voir contrainte d'approuver, Je sais contre l'ennui que rien ne justifie. Sans que votre orgueil s'en défie. Vos écrits très souvent ont l'art de le prouver. On entend un bruit confus de voix et et instrument derrière le Théâtre."")",1.0,Deletion
538,,"('#apollon', 'Mais quel bruit tout à coup, quel tumulte au Parnasse ?')",1.0,Deletion
539,,"('#la-renommee', ""Ce sont les cris, d'un peuple heureux. Dont la foule ici se ramasse. Il voudrait entrer..., Bruit."")",1.0,Deletion
540,,"('#apollon', ""Ah ! Tant mieux. Qu'il entre, qu'on le laisse faire. Le coeur dicte sa joie, elle est toujours sincère ; Ne songeons qu'à nous réjouir. Ce jour bannit les rangs, le bonheur les égale. La joie est ici générale Tous les États doivent se doivent se réunir. Le succès seul pouvait justifier ce divertissement ; mais il a été si singulier, les applaudissements qu'il a reçu ont été si vifs, si unanimes, si souvent répétés qu'il me dispensent d'avance de répondre aux critiques qu'on pourrait en faire. La Ferme s'ouvre, on voit dans l'enfoncement des tréteaux ornés de lampions représentant le chiffre du Roi."")",1.0,Deletion
